SegmentInL1	SegmentInL2
Polynice aujourd'hui a achevé sa chasse. Il rentre à la maison où mon père et ma mère, et Etéocle aussi, l'attendent. Il a droit au repos.	Polynices has finished his hunt today. He's going back to the house where my father and mother are waiting for him. Eteocles too. He has a right to rest.
CREON	CREON
C'était un révolté et un traître, tu le savais.	He was a rebel and a traitor, you know that.
ANTIGONE	ANTIGONE
C'était mon frère.	He was my brother.
CREON	CREON
Tu avais entendu proclamer l'édit aux carrefours, tu avais lu l'affiche sur tous les murs de la ville?	You've heard them read the edict at the crossroads, you've seen the posters on all the walls in town?
ANTIGONE	ANTIGONE
Oui.	Yes.
CREON	CREON
Tu savais le sort qui était promis à celui, quel qu'il soit, qui oserait lui rendre les honneurs funèbres ?	You knew what I promised would happen to anyone, whoever he may be, who dared give him the funeral rites?
ANTIGONE	ANTIGONE
Oui, je le savais.	Yes, I knew that.
CREON	CREON
Tu as peut-être cru que d'être la fille d'Œdipe, la fille de l'orgueil d'Œdipe, c'était assez pour être au-dessus de la loi.	Maybe you thought that you were the daughter of Oedipus, the daughter of the pride of Oedipus, and that was enough to put you above the law.
ANTIGONE	ANTIGONE
Non.	No.
Je n'ai pas cru cela.	I didn't think that.
CREON	CREON
La loi est d'abord faite pour toi, Antigone, la loi est d'abord faite pour les filles des rois !	The law is first of all made for you, Antigone, the law is first of all made for the daughters of kings!
ANTIGONE	ANTIGONE
Si j'avais été une servante en train de faire sa vaisselle, quand j'ai entendu lire l'édit, j'aurais essuyé l'eau grasse de mes bras et je serais sortie avec mon tablier pour aller enterrer mon frère.	If I had been a servant doing the dishes when I heard the edict being read, I would have wiped my greasy hands and I would have gone out in my apron to bury my brother.
CREON	CREON
Ce n'est pas vrai. Si tu avais été une servante, tu n'aurais pas douté que tu allais mourir et tu serais restée à pleurer ton frère chez toi.	That is not true. If you had been a servant, you would have known very well that you would die, and you would have stayed at home and cried for your brother there.
Seulement tu as pensé que tu étais de race royale, ma nièce et la fiancée de mon fils, et que, quoi qu'il arrive, je n'oserais pas te faire mourir.	You just thought that you were of the royal family, my niece and the fiancée of my brother, and that when it came down to it I wouldn't dare to have you killed.
ANTIGONE	ANTIGONE
Vous vous trompez. J'étais certaine que vous me feriez mourir au contraire.	You are wrong. On the contrary, I was certain you would have me killed.
CREON,	CREON,
la regarde et murmure soudain.	looks at her and murmurs suddenly.
L'orgueil d'Œdipe. Tu es l'orgueil d'Œdipe. Oui, maintenant que je l'ai trouvé au fond de tes yeux, je te crois.	The pride of Oedipus. You are the pride of Oedipus. Yes, now that I can see it deep in your eyes, I believe you.
Tu as dû penser que je te ferais mourir. Et cela te paraissait un dénouement tout naturel pour toi, orgueilleuse !	Yes, I can understand now that you thought I'd have you killed. And you're so proud it seemed like a perfectly natural ending for you.
Pour ton père non plus je ne dis pas le bonheur, il n'en était pas question le malheur humain, c'était trop peu.	For your father too, happiness could never be enough, normal human unhappiness was too little.
L'humain vous gêne aux entournures de la famille. Il vous faut un tête-à-tête avec le destin et la mort. Et tuer votre père et coucher avec votre mère et apprendre tout cela après, avidement, mot par mot.	In your family, it's kind of embarrassing to be just human. You need to get together with fate and death. You need to kill your father and sleep with your mother and then hear the whole thing afterwards, word by word.
Quel breuvage, hein, les mots qui vous condamnent ? Et comme on les boit goulûment quand on s'appelle Œdipe, ou Antigone. Et le plus simple, après, c'est encore de se crever les yeux et d'aller mendier avec ses enfants sur les routes...	Those words that condemn you are so exciting, aren't they? You just lap them up when your name is Oedipus or Antigone. And then it's so simple to poke your eyes out and go out begging on the roads with your children.
Hé bien, non. Ces temps sont révolus pour Thèbes.	No thank you. Those times are over for Thebes.
Thèbes a droit maintenant à un prince sans histoire. Moi, je m'appelle seulement Créon, Dieu merci.	Thebes has the right now to a prince without a tragic history. Thank God, I'm just plain Creon.
J'ai mes deux pieds par terre, mes deux mains enfoncées dans mes poches, et, puisque je suis roi, j'ai résolu, avec moins d'ambition que ton père, de m'employer tout simplement à rendre l'ordre de ce monde un peu moins absurde, si c'est possible. Ce n'est même pas une aventure, c'est un métier pour tous les jours et pas toujours drôle, comme tous les métiers.	I've got my feet on the ground, my hands in my pockets, and since I happen to be king, I'm not as ambitious as your father, I just want to make the world a bit less crazy, if I can do that. It's not exactly an adventure, it's just a job. And like all jobs, it's not always fun.
Mais puisque je suis là pour le faire, je vais le faire...	But since I'm here to do it, then I'll do it...
Et si demain un messager crasseux dévale du fond des montagnes pour m'annoncer qu'il n'est pas très sûr non plus de ma naissance, je le prierai tout simplement de s'en retourner d'où il vient et je ne m'en irai pas pour si peu regarder ta tante sous le nez et me mettre à confronter les dates. Les rois ont autre chose à faire que du pathétique personnel, ma petite fille.	And if some day a dubious messenger turns up from the far mountains to say that there are some questions about where I was born, I will just tell him to go home again, and I won't start checking up on your aunt and comparing dates. Little girl, kings have more important things to do than occupy themselves with their private lives.
(Il a été à elle, il lui prend le bras.)	(He goes up to her and takes her by the arm.)
Alors, écoute-moi bien. Tu es Antigone, tu es la fille d'Œdipe, soit, mais tu as vingt ans et il n'y a pas longtemps encore tout cela se serait réglé par du pain sec et une paire de gifles.	So listen. Yes, you are Antigone, yes, you are the daughter of Oedipus, but you are twenty years old, and not very long ago this would have been sorted out with a couple of smacks and going to bed without your dinner.
(Il la regarde, souriant.)	(He looks at her, smiling.)
Te faire mourir ! Tu ne t'es pas regardée, moineau ! Tu es trop maigre. Grossis un peu, plutôt, pour faire un gros garçon à Hémon. Thèbes en a besoin plus que de ta mort, je te l'assure.	Have you killed! Take a look at yourself. You're too thin. Put on a bit of weight, so that you can give Haemon a nice, fat, healthy baby. I promise you, Thebes needs that more than it needs your death.
Tu vas rentrer chez toi tout de suite, faire ce que je t'ai dit et te taire. Je me charge du silence des autres.	Go back to your room now, do what I told you, and keep your mouth shut. I'll make sure no one else talks.
Allez, va ! Et ne me foudroie pas comme cela du regard.	Come on, move! And stop looking at me like that.
Tu me prends pour une brute, c'est entendu, et tu dois penser que je suis décidément bien prosaïque. Mais je t'aime bien tout de même, avec ton sale caractère.	Obviously, you think I'm a pig, I get that, and I'm sure you think I have no poetry in my soul. But I care about you all the same, bad temper and all.
N'oublie pas que c'est moi qui t'ai fait cadeau de ta première poupée, il n'y a pas si longtemps.	Remember who gave you your first doll, only a few years ago.
Antigone ne répond pas.	Antigone does not answer.
Elle va sortir.	She makes to leave.
Il l'arrête.	He stops her.
CREON	CREON
Antigone ! C'est par cette porte qu'on regagne ta chambre.	Antigone! That's the way to your room.
Où t'en vas-tu par là ?	Where were you going?
ANTIGONE,	ANTIGONE,
s'est arrêtée, elle lui répond doucement, sans forfanterie.	she has stopped, she replies softly without making a show of it.
Vous le savez bien...	You know very well...
Un silence.	A silence.
Ils se regardent encore debout l'un en face de l'autre.	They stand again, facing each other.
CREON,	CREON,
murmure, comme pour lui.	murmurs, as to himself.
Quel jeu joues-tu?	What game are you playing at?
ANTIGONE	ANTIGONE
Je ne joue pas.	I am not playing.
CREON	CREON
Tu ne comprends donc pas que si quelqu'un d'autre que ces trois brutes sait tout à l'heure ce que tu as tenté de faire, je serai obligé de te faire mourir ?	Don't you understand that if anyone other than those three thugs finds out what you tried to do, I will be obliged to put you to death?
Si tu te tais maintenant, si tu renonces à cette folie, j'ai une chance de te sauver, mais je ne l'aurai plus dans cinq minutes. Le comprends-tu ?	If you keep quiet, if you give up this crazy idea, I have a chance to save you, but it'll be gone five minutes from now. Do you understand that?
ANTIGONE	ANTIGONE
Il faut que j'aille enterrer mon frère que ces hommes ont découvert.	I have to bury my brother. Those men uncovered him again.
CREON	CREON
Tu irais refaire ce geste absurde ?	You will once again make this absurd gesture?
Il y a une autre garde autour du corps de Polynice et, même si tu parviens à le recouvrir encore, on dégagera son cadavre, tu le sais bien. Que peux-tu donc sinon t'ensanglanter encore les ongles et te faire prendre ?	There's a different guard now watching over Polynices' body, and even if you manage to cover him up again, you know perfectly well they will just uncover him. What will you achieve except breaking your fingernails and getting caught?
ANTIGONE	ANTIGONE
Rien d'autre que cela, je le sais. Mais cela, du moins, je le peux. Et il faut faire ce que l'on peut.	Nothing else, I know. But at least I can do that. You have to do what you can.
CREON	CREON
Tu y crois donc vraiment, toi, à cet enterrement dans les règles ? A cette ombre de ton frère condamnée à errer toujours si on ne jette pas sur le cadavre un petit peu de terre avec la formule du prêtre ?	Do you really believe in this burial according to the rites? This idea that your brother's spirit will be condemned to wander forever if you don't throw a bit of dirt on the corpse and say the right words?
Tu leur a déjà entendu la réciter, aux prêtres de Thèbes, la formule ? Tu as vu ces pauvres têtes d'employés fatigués écourtant les gestes, avalant les mots, bâclant ce mort pour en prendre un autre avant le repas de midi ?	You've heard the priests of Thebes doing the burial ceremony? You've seen those poor, tired church employees cutting short their gestures, gabbling the words, trying to get it over quickly enough so that they can fit in another stiff before they break for lunch?
ANTIGONE	ANTIGONE
Oui, je les ai vus.	Yes, I've seen them.
CREON	CREON
Est-ce que tu n'as jamais pensé alors que si c'était un être que tu aimais vraiment, qui était là, couché dans cette boîte, tu te mettrais à hurler tout d'un coup ? A leur crier de se taire, de s'en aller ?	And you've never thought to yourself that if that was someone you loved lying there in the box, you'd want start screaming? Scream at them to shut up and go away?
ANTIGONE	ANTIGONE
Si, je l'ai pensé.	Yes, I've thought that.
CREON	CREON
Et tu risques la mort maintenant parce que j'ai refusé à ton frère ce passeport dérisoire, ce bredouillage en série sur sa dépouille, cette pantomime dont tu aurais été la première à avoir honte et mal si on l'avait jouée. C'est absurde !	And you're risking your life now because I have refused to give your brother this stupid passport to the hereafter, this mass-produced mumbling over a corpse, this pantomime that would have left you more sick and ashamed than anyone. It doesn't make any sense!
ANTIGONE	ANTIGONE
Oui, c'est absurde.	Yes, it doesn't make any sense.
CREON	CREON
Pourquoi fais-tu ce geste, alors ? Pour les autres, pour ceux qui y croient ? Pour les dresser contre moi ?	So why are you making this gesture then? For the others, the people who believe in it? To set them against me?
ANTIGONE	ANTIGONE
Non.	No.
CREON	CREON
Ni pour les autres, ni pour ton frère ? Pour qui alors ?	So not for the others, and not for your brother? For who then?
ANTIGONE	ANTIGONE
Pour personne. Pour moi.	For nobody. For myself.
CREON,	CREON,
la regarde en silence.	looks at her in silence.
Tu as donc bien envie de mourir ? Tu as l'air d'un petit gibier pris.	So you want to die then? You look like a little animal someone's caught.
ANTIGONE	ANTIGONE
Ne vous attendrissez pas sur moi. Faites comme moi. Faites ce que vous avez à faire. Mais si vous êtes un être humain, faites-le vite.	Don't you start feeling sorry for me. Do what I'm doing. Do what you have to do. But if you're a human being, do it quickly.
Voilà tout ce que je vous demande. Je n'aurai pas du courage éternellement, c'est vrai.	That's all I'm asking. You're right, I won't be able to stay strong forever.
CREON,	CREON,
se rapproche.	moves closer to her.
Je veux te sauver, Antigone.	I want to save you, Antigone.
ANTIGONE	ANTIGONE
Vous êtes le roi, vous pouvez tout, mais cela, vous ne le pouvez pas.	You are the king, you can do anything, but that's one thing you can't do.
CREON	CREON
Tu crois ?	You think not?
ANTIGONE	ANTIGONE
Ni me sauver, ni me contraindre.	You can't save me, you can't make me do what you want.
CREON	CREON
Orgueilleuse ! Petite Œdipe !	Such pride! Such a little Oedipus!
ANTIGONE	ANTIGONE
Vous pouvez seulement me faire mourir.	All you can do is have me killed.
CREON	CREON
Et si je te fais torturer ?	And if I have you tortured first?
ANTIGONE	ANTIGONE
Pourquoi ? Pour que je pleure, que je demande grâce, pour que je jure tout ce qu'on voudra, et que je recommence après, quand je n'aurai plus mal ?	Why? So that I'll cry, so that I'll beg for mercy, so that I'll swear anything you want, and then try again as soon as the pain has gone?
CREON,	CREON,
lui serre le bras.	grabs her by the arm.
Ecoute-moi bien. J'ai le mauvais rôle, c'est entendu, et tu as le bon. Et tu le sens. Mais n'en profite tout de même pas trop, petite peste...	Listen to me. Of course I'm the bad guy here, you're the good guy. And you know that. But don't overexploit it, you little bitch.
Si j'étais une bonne brute ordinaire de tyran, il y aurait déjà longtemps qu'on t'aurait arraché la langue, tiré les membres aux tenailles, ou jeté dans un trou. Mais tu vois dans mes yeux quelque chose qui hésite, tu vois que je te laisse parler au lieu d'appeler mes soldats ; alors, tu nargues, tu attaques tant que tu peux.	If I were just your ordinary standard issue tyrant, you would long ago have had your tongue cut out and your arms and legs stretched on the rack, or you'd just have been thrown in a hole. But you can see something in my eyes that's hesitating, you can see I'd rather talk than call my men. So you keep on needling me, attacking me as much as you can.
Où veux-tu en venir, petite furie ?	What are you trying to achieve, you little fury?
ANTIGONE	ANTIGONE
Lâchez-moi. Vous me faites mal au bras avec votre main.	Let go of me. You're hurting my arm.
CREON,	CREON,
qui serre plus fort.	gripping her more tightly.
Non. Moi, je suis le plus fort comme cela, j'en profite aussi.	No. I am stronger in that respect, I will also exploit it.
ANTIGONE,	ANTIGONE,
pousse un petit cri.	utters a little cry.
Aïe !	Ow!
CREON,	CREON,
dont les yeux rient.	his eyes laughing.
C'est peut-être ce que je devrais faire après tout, tout simplement, te tordre le poignet, te tirer les cheveux comme on fait aux filles dans les jeux.	Maybe that's all I should have done really, just twisted your wrist, pulled your hair like you do with little grls.
(Il la regarde encore. Il redevient grave. Il lui dit tout près.)	(He is still looking at her. He becomes serious again. Moving very close to her, he says:)
Je suis ton oncle, c'est entendu, mais nous ne sommes pas tendres les uns pour les autres, dans la famille.	I am your uncle, we both know that, but we're not very nice to each other in this family.
Cela ne te semble pas drôle, tout de même, ce roi bafoué qui t'écoute, ce vieil homme qui peut tout et qui en a vu tuer d'autres, je t'assure, et d'aussi attendrissants que toi, et qui est là, à se donner toute cette peine pour essayer de t'empêcher de mourir ?	I suppose you think it's funny all the same, to be able to disrespect a king who's listening to you, a man who has the power to do anything and I promise you has seen plenty of other people killed, some of them just as cute as you, and who's still taking all this trouble to try and stop you from dying?
ANTIGONE,	ANTIGONE,
après un temps.	after a while
Vous serrez trop, maintenant. Cela ne me fait même plus mal. Je n'ai plus de bras.	You're squeezing too hard now. It doesn't hurt any more. It's like I don't have an arm.
CREON,	CREON,
la regarde et la lâche avec un petit sourire. Il murmure.	looks at her and lets her go with a little smile. He murmurs.
Dieu sait pourtant si j'ai autre chose à faire aujourd'hui, mais je vais tout de même perdre le temps qu'il faudra et te sauver, petite peste.	God knows I've got other things to do today, but I'll do whatever it takes to save you, you little pest.
(Il la fait asseoir sur une chaise au milieu de la pièce. Il enlève sa veste, il s'avance vers elle, lourd, puissant, en bras de chemise.)	(He sits her down on a chair in the middle of the stage. He removes his jacket and moves towards her, heavy, powerful, in his shirt-sleeves.)
Au lendemain d'une révolution ratée, il y a du pain sur la planche, je te l'assure. Mais les affaires urgentes attendront. Je ne veux pas te laisser mourir dans une histoire de politique. Tu vaux mieux que cela.	The day after a failed revolution, I promise you there's plenty of cleaning up left. But urgent business can wait. I don't want to see you die in some stupid political intrigue. You're better than that.
Parce que ton Polynice, cette ombre éplorée et ce corps qui se décompose entre ses gardes et tout ce pathétique qui t'enflamme, ce n'est qu'une histoire de politique.	Because your Polynices, this wailing ghost and this body that's rotting away surrounded by its guards and all this other emotional stuff that's got you so excited, it's just a political intrigue.
D'abord, je ne suis pas tendre, mais je suis délicat ; j'aime ce qui est propre, net, bien lavé. Tu crois que cela ne me dégoûte pas autant que toi, cette viande qui pourrit au soleil ? Le soir, quand le vent vient de la mer, on la sent déjà du palais. Cela me soulève le cœur. Pourtant, je ne vais même pas fermer ma fenêtre.	First of all, I'm not tender-hearted but I'm kind of fussy: I like things to be clean and neat. You think this doesn't disgust me as much as you, this piece of stinking meat we've left out in the sun? In the evening, when we get the sea breeze, you can smell it even in the palace. It turns my stomach. But all the same, I don't close the window.
C'est ignoble, et je peux même le dire à toi, c'est bête, monstrueusement bête, mais il faut que tout Thèbes sente cela pendant quelque temps.	It's horrible, and I can even admit it's stupid, it's disgustingly stupid, but all of Thebes needs that smell in its nostrils for a while.
Tu penses bien que je l'aurais fait enterrer, ton frère, ne fût-ce que pour l'hygiène ! Mais pour que les brutes que je gouverne comprennent, il faut que cela pue le cadavre de Polynice dans toute la ville, pendant un mois.	You think of course I should bury your brother, just for hygienic reasons if nothing else. But to make the animals I govern understand, the whole town has to stink of Polynices' decaying carcass for a month.
ANTIGONE	ANTIGONE
Vous êtes odieux !	You're revolting!
CREON	CREON
Oui mon petit. C'est le métier qui le veut. Ce qu'on peut discuter c'est s'il faut le faire ou ne pas le faire. Mais si on le fait, il faut le faire comme cela.	Yes, my dear. The job requires it. You can discuss whether you should do the job or not do the job. But if you're going to do it, you need to do it like that.
ANTIGONE	ANTIGONE
Pourquoi le faites-vous ?	So why do you do it?
CREON	CREON
Un matin, je me suis réveillé roi de Thèbes. Et Dieu sait si j'aimais autre chose dans la vie que d'être puissant...	One morning, I woke up and I was king of Thebes. And God knows there were things in life I wanted more than power...
ANTIGONE	ANTIGONE
Il fallait dire non, alors !	You should have said no then!
CREON	CREON
Je le pouvais. Seulement, je me suis senti tout d'un coup comme un ouvrier qui refusait un ouvrage. Cela ne m'a pas paru honnête. J'ai dit oui.	I could have. But I just felt suddenly like a workman who was turning down a job. It didn't seem honest. I said yes.
ANTIGONE	ANTIGONE
Hé bien, tant pis pour vous. Moi, je n'ai pas dit « oui » ! Qu'est-ce que vous voulez que cela me fasse, à moi, votre politique, vos nécessités, vos pauvres histoires ?	"Well too bad for you. Me, I've not said ""yes""! Why should I care about your politics and your necessities and your sad little intrigues?"
Moi, je peux dire « non » encore à tout ce que je n'aime pas et je suis seul juge. Et vous, avec votre couronne, avec vos gardes, avec votre attirail, vous pouvez seulement me faire mourir parce que vous avez dit « oui ».	"I can still say ""no"" to everything I don't like, and I can decide on my own. And you, with your crown and your guards and all the rest of it, all you can do is kill me, because you have said ""yes""."
CREON	CREON
Ecoute-moi.	Listen to me.
ANTIGONE	ANTIGONE
Si je veux, moi, je peux ne pas vous écouter. Vous avez dit « oui ». Je n'ai plus rien à apprendre de vous. Pas vous.	"If I don't want to, I don't need to listen to you. You have said ""yes"". I have nothing to learn from you. Not you."
Vous êtes là, à boire mes paroles. Et si vous n'appelez pas vos gardes, c'est pour m'écouter jusqu'au bout.	You're there, you're drinking in my words. And if you don't call your guards, it's so that you can hear me out to the end.
CREON	CREON
Tu m'amuses.	You amuse me.
ANTIGONE	ANTIGONE
Non. Je vous fais peur. C'est pour cela que vous essayez de me sauver. Ce serait tout de même plus commode de garder une petite Antigone vivante et muette dans ce palais.	No. I terrify you. That's why you're trying to save me. It'd be so much easier to have an obedient, living Antigone in the palace.
Vous êtes trop sensible pour faire un bon tyran, voilà tout. Mais vous allez tout de même me faire mourir tout à l'heure, vous le savez, et c'est pour cela que vous avez peur. C'est laid un homme qui a peur.	You're too sensitive to make a good tyrant, that's what it's about. But you're going to have to kill me soon all the same, you know you will, and that's what frightens you. A man who's frightened is so ugly.
CREON,	CREON,
sourdement.	dully
Eh bien, oui, j'ai peur d'être obligé de te faire tuer si tu t'obstines. Et je ne le voudrais pas.	Well yes, I am frightened by the idea that I'm going to have to kill you if you carry on like this. I don't want to.
ANTIGONE	ANTIGONE
Moi, je ne suis pas obligée de faire ce que je ne voudrais pas ! Vous n'auriez pas voulu non plus, peut-être, refuser une tombe à mon frère ? Dites-le donc, que vous ne l'auriez pas voulu ?	Well I don't have to do things if I don't want to! Perhaps you didn't want to refuse my brother a tomb either? Go on, say you didn't want to?
CREON	CREON
Je te l'ai dit.	I have already said that.
ANTIGONE	ANTIGONE
Et vous l'avez fait tout de même. Et maintenant, vous allez me faire tuer sans le vouloir. Et c'est cela, être roi !	But you did it all the same. And now, you're going to kill me without wanting to. And that's what it is to be a king!
CREON	CREON
Oui, c'est cela !	Yes, that's what it is!
ANTIGONE	ANTIGONE
Pauvre Créon ! Avec mes ongles cassés et pleins de terre et les bleus que tes gardes m'ont fait aux bras, avec ma peur qui me tord le ventre, moi je suis reine.	Poor Creon! With my dirty broken nails, and the bruises your guards have left on my arms, and the fear twisting up my stomach, I'm a queen.
CREON	CREON
Alors, aie pitié de moi, vis. Le cadavre de ton frère qui pourrit sous mes fenêtres, c'est assez payé pour que l'ordre règne dans Thèbes.	Then look, have pity on me. The body of your brother rotting under my windows, that's enough payment to reestablish order in Thebes.
Mon fils t'aime. Ne m'oblige pas à payer avec toi encore. J'ai assez payé.	My son loves you. Don't make me pay with you as well. I've paid enough.
ANTIGONE	ANTIGONE
Non. Vous avez dit « oui ». Vous ne vous arrêterez jamais de payer maintenant !	"No. You've said ""yes"". And now you'll never stop paying!"
CREON,	CREON,
la secoue soudain, hors de lui.	losing it, suddenly shakes her.
Mais, bon Dieu ! Essaie de comprendre une minute, toi aussi, petite idiote ! J'ai bien essayé de te comprendre, moi.	But Jesus Christ! Try to understand for a moment, you little idiot! I've tried to understand you.
Il faut pourtant qu'il y en ait qui disent oui.	Someone has to say yes.
Il faut pourtant qu'il y en ait qui mènent la barque. Cela prend l'eau de toutes parts, c'est plein de crimes, de bêtise, de misère...	Someone has to steer the ship. It's leaking everywhere, it's full of crime, stupidity, misery...
Et le gouvernail est là qui ballotte.	And the wheel's just spinning round.
L'équipage ne veut plus rien faire, il ne pense qu'à piller la cale et les officiers sont déjà en train de se construire un petit radeau confortable, rien que pour eux, avec toute la provision d'eau douce, pour tirer au moins leurs os de là. Et le mât craque, et le vent siffle, et les voiles vont se déchirer, et toutes ces brutes vont crever toutes ensemble, parce qu'elles ne pensent qu'à leur peau, à leur précieuse peau et à leurs petites affaires.	The crew don't care anymore, all they want to do is loot the hold, and the officers are already building a comfortable little raft, just for them, with all the fresh water, so at least they can get out. And the mast's about to split, and the wind's howling, and the sails are tearing themselves apart, and all these animals are going to die, because all any of them can think about is how to save their own precious skin.
Crois-tu, alors, qu'on a le temps de faire le raffiné, de savoir s'il faut dire « oui » ou « non », de se demander s'il ne faudra pas payer trop cher un jour, et si on pourra encore être un homme après ? On prend le bout de bois, on redresse devant la montagne d'eau, on gueule un ordre et on tire dans le tas, sur le premier qui s'avance. Dans le tas ! Cela n'a pas de nom.	"Do you think you've got time for these fancy thoughts, to know if you should say ""yes"" or ""no"", to ask yourself if you're paying too much, if you can still feel like a man afterwards? You grab the wheel, you face the mountain of water in front of you, you yell an order and you fire into the crowd, on the first man who moves forward. Into the crowd! It doesn't have a name."
C'est comme la vague qui vient de s'abattre sur le pont devant vous ; le vent qui vous gifle, et la chose qui tombe devant le groupe n'a pas de nom. C'était peut-être celui qui t'avait donné du feu en souriant la veille. Il n'a plus de nom. Et toi non plus tu n'as plus de nom, cramponné à la barre. Il n'y a plus que le bateau qui ait un nom et la tempête.	It's like the wave that comes crashing down on the bridge under your nose; the wind whipping you, and the thing that falls down when you shoot don't have names. Maybe it's the guy who gave you a light and smiled yesterday. He doesn't have a name. And you don't have a name either, clinging to the wheel. Only the boat and the storm have names.
Est-ce que tu le comprends, cela ?	Do you understand?
ANTIGONE,	ANTIGONE,
secoue la tête.	shakes her head.
Je ne veux pas comprendre. C'est bon pour vous. Moi, je suis là pour autre chose que pour comprendre. Je suis là pour vous dire non et pour mourir.	I don't want to understand. It makes sense to you. I'm not here to understand. I'm here to say no and die.
CREON	CREON
C'est facile de dire non !	It's easy to say no!
ANTIGONE	ANTIGONE
Pas toujours.	Not always.
CREON	CREON
Pour dire oui, il faut suer et retrousser ses manches, empoigner la vie à pleines mains et s'en mettre jusqu'aux coudes.	If you're going to say yes, you need to sweat, you need to roll up your sleeves and grab life with both hands and stick them in up to the elbows.
C'est facile de dire non, même si on doit mourir. Il n'y a qu'à ne pas bouger et attendre. Attendre pour vivre, attendre même pour qu'on vous tue. C'est trop lâche. C'est une invention des hommes.	It's easy to say no, even if you're going to die. You just sit there and wait. You wait to live, you even wait for them to come and kill you. It's cowardly. It's just something people have made up.
Tu imagines un monde où les arbres aussi auraient dit non contre la sève, où les bêtes auraient dit non contre l'instinct de la chasse ou de l'amour ?	Can you imagine a world where the trees said no to the sap rising in them, where animals said no to their instincts of fighting and reproducing?
Les bêtes, elles au moins, elle sont bonnes et simples et dures. Elles vont, se poussant les unes après les autres, courageusement, sur le même chemin. Et si elles tombent, les autres passent et il peut s'en perdre autant que l'on veut, il en restera toujours une de chaque espèce prête à refaire des petits et à reprendre le même chemin avec le même courage, toute pareille à celles qui sont passées avant.	At least the animals are simple and kind and tough. They move forward bravely on the same road, each one pushing the one in front. If one of them drops dead, the others go on, and it doesn't matter how many die, there's always one of each species left to make more and carry on down the same road, just as they always have.
ANTIGONE	ANTIGONE
Quel rêve, hein, pour un roi, des bêtes ! Ce serait si simple.	What a dream for a king, those animals! It would be so simple.
Un silence, Créon la regarde.	A silence. Creon looks at her.
CREON	CREON
Tu me méprises, n'est-ce pas ?	You despise me, don't you?
(Elle ne répond pas, il continue comme pour lui.)	(She doesn't answer, he continues as to himself.)
C'est drôle : Je l'ai souvent imaginé, ce dialogue avec un petit jeune homme pâle qui aurait essayé de me tuer et dont je ne pourrais rien tirer après que du mépris. Mais je ne pensais pas que ce serait avec toi et pour quelque chose d'aussi bête...	It's strange. I've often imagined it, this dialogue with a pale young man who's tried to kill me, that I can't get to show any emotion but contempt. But I never thought it would be with you, and for something to stupid...
(Il a pris sa tête dans ses mains. On sent qu'il est à bout de forces.)	(He has put his head in his hands. You feel he's about to give up).
Ecoute-moi tout de même pour la dernière fois. Mon rôle n'est pas bon, mais c'est mon rôle, et je vais te faire tuer. Seulement, avant, je veux que toi aussi tu sois bien sûre du tien.	Alright, one last try. I don't have a good role, but it's the one I've got, and I'm going to kill you. But first, I just want you to be quite sure you know what you're doing.
Tu sais pourquoi tu vas mourir, Antigone ? Tu sais au bas de quelle histoire sordide tu vas signer pour toujours ton petit nom sanglant ?	Do you know why you're dying, Antigone? Do you know what disgusting little story you're going to undersign in your blood?
ANTIGONE	ANTIGONE
Quelle histoire ?	What story?
CREON	CREON
Celle d'Etéocle et de Polynice, celle de tes frères. Non, tu crois la savoir, tu ne la sais pas. Personne ne la sait dans Thèbes, que moi. Mais il me semble que toi, ce matin, tu as aussi le droit de l'apprendre.	The story of Eteocles and Polynices, your brothers. You think you know it, but you don't. No one in Thebes knows it except me. But I think, this morning, that you also have the right to find out.
(Il rêve un temps, la tête dans ses mains, accoudé sur ses genoux. On l'entend murmurer.)	(He sits there dreaming for a while, his head in his hands, his elbows on his knees. We hear him murmur.)
Ce n'est pas bien beau, tu vas voir.	You'll see, it's not very nice.
(Et il commence sourdement sans regarder Antigone.)	(And he starts dully without looking at Antigone.)
Que te rappelles-tu de tes frères, d'abord ? Deux compagnons de jeux qui te méprisaient sans doute, qui te cassaient tes poupées, se chuchotant éternellement des mystères à l'oreille l'un de l'autre pour te faire enrager ?	First of all, what do you remember about your brothers? Two playmates who no doubt despised you, who broke your dolls, always whispering secrets together to make you mad?
ANTIGONE	ANTIGONE
C'étaient des grands...	They were big kids...
CREON	CREON
Après, tu as dû les admirer avec leurs premières cigarettes, leurs premiers pantalons longs ; et puis ils ont commencé à sortir le soir, à sentir l'homme, et ils ne t'ont plus regardée du tout.	And then I'm sure you admired their first cigarettes, their first long trousers; and then they started going out at night, and they smelled like men, and they no longer looked at you at all.
ANTIGONE	ANTIGONE
J'étais une fille...	I was a girl...
CREON	CREON
Tu voyais bien ta mère pleurer, ton père se mettre en colère, tu entendais claquer les portes à leur retour et leurs ricanements dans les couloirs. Et ils passaient devant toi, goguenards et veules, sentant le vin.	You saw your mother crying, you saw your father angry, you heard the doors slamming when they came home, and their nasty smiles in the corridors. They walked past you, full of worthless sarcasm, smelling of liquor..
ANTIGONE	ANTIGONE
Une fois, je m'étais cachée derrière une porte, c'était le matin, nous venions de nous lever, et eux, ils rentraient.	Once, I hid behind a door, it was morning, we'd just got up and they were coming home.
